year_radica,count_a,count_de,tipo_predio_zona,categoria_ruralidad_2024,valor
2021,1,3,URBANO,Ciudades y aglomeraciones,360000000
2022,1,1,URBANO,Ciudades y aglomeraciones,520000000
2023,4,2,URBANO,Ciudades y aglomeraciones,520000000
2023,2,2,URBANO,Ciudades y aglomeraciones,4687500.0
2022,1,4,URBANO,Ciudades y aglomeraciones,190000000
2023,2,2,URBANO,Ciudades y aglomeraciones,525000000
2022,1,1,URBANO,Ciudades y aglomeraciones,270000000
2023,2,12,URBANO,Ciudades y aglomeraciones,900000000
2022,2,3,URBANO,Ciudades y aglomeraciones,860000000
2022,2,3,URBANO,Ciudades y aglomeraciones,323800000
2023,2,2,URBANO,Ciudades y aglomeraciones,390000000
2021,2,1,URBANO,Ciudades y aglomeraciones,750000000
2023,2,2,URBANO,Ciudades y aglomeraciones,670000000
2022,1,1,URBANO,Ciudades y aglomeraciones,29000000
2021,2,2,URBANO,Ciudades y aglomeraciones,105000000
2021,2,2,URBANO,Ciudades y aglomeraciones,105000000
2022,1,1,URBANO,Ciudades y aglomeraciones,6000000.0
2022,6,1,URBANO,Ciudades y aglomeraciones,800000000
2022,1,1,URBANO,Ciudades y aglomeraciones,300000000
2021,1,2,URBANO,Ciudades y aglomeraciones,75000000
2022,1,1,URBANO,Ciudades y aglomeraciones,95000000
2023,2,6,URBANO,Ciudades y aglomeraciones,3200000.0
2022,1,1,URBANO,Ciudades y aglomeraciones,520000000
2023,4,2,URBANO,Ciudades y aglomeraciones,520000000
2023,4,6,URBANO,Ciudades y aglomeraciones,776000000
2023,1,1,URBANO,Ciudades y aglomeraciones,4000000.0
2022,1,2,URBANO,Ciudades y aglomeraciones,540000000
2022,3,2,URBANO,Ciudades y aglomeraciones,250000000
2022,1,1,URBANO,Ciudades y aglomeraciones,350000000
2021,1,4,URBANO,Ciudades y aglomeraciones,130000000
2023,1,2,URBANO,Ciudades y aglomeraciones,80000000
2021,1,1,URBANO,Ciudades y aglomeraciones,900000000
2022,2,2,SIN INFORMACION,Ciudades y aglomeraciones,180000000
2023,2,1,URBANO,Ciudades y aglomeraciones,70000000
2023,2,2,URBANO,Ciudades y aglomeraciones,90000000
2021,1,1,URBANO,Ciudades y aglomeraciones,150000000
2022,1,1,URBANO,Ciudades y aglomeraciones,320000000
2023,1,1,URBANO,Ciudades y aglomeraciones,300000000
2023,1,1,URBANO,Ciudades y aglomeraciones,105036000
2021,1,2,URBANO,Ciudades y aglomeraciones,700000000
2021,1,1,URBANO,Ciudades y aglomeraciones,480000000
2021,2,1,URBANO,Ciudades y aglomeraciones,222000000
2022,1,1,URBANO,Ciudades y aglomeraciones,16500000
2022,1,1,URBANO,Ciudades y aglomeraciones,8000000.0
2021,1,1,URBANO,Ciudades y aglomeraciones,5000000.0
2022,1,2,URBANO,Ciudades y aglomeraciones,910000000
2021,1,1,URBANO,Ciudades y aglomeraciones,7000000.0
2022,2,1,URBANO,Ciudades y aglomeraciones,800000000
2021,2,1,URBANO,Rural,10000000
2021,1,3,URBANO,Ciudades y aglomeraciones,650000000
2023,2,2,URBANO,Ciudades y aglomeraciones,3840000.0
2023,1,1,URBANO,Ciudades y aglomeraciones,554000000
2023,2,6,URBANO,Ciudades y aglomeraciones,686750020
2022,1,1,URBANO,Ciudades y aglomeraciones,12999999500
2021,1,5,URBANO,Ciudades y aglomeraciones,280000000
2023,1,1,URBANO,Ciudades y aglomeraciones,646588990
2023,1,3,URBANO,Ciudades y aglomeraciones,376294016
2022,5,1,URBANO,Ciudades y aglomeraciones,132000000
2022,1,2,URBANO,Rural,12000000
2023,8,2,URBANO,Ciudades y aglomeraciones,3203000060
2021,1,2,URBANO,Ciudades y aglomeraciones,450000000
2021,1,2,URBANO,Ciudades y aglomeraciones,450000000
2023,1,2,URBANO,Ciudades y aglomeraciones,540000000
2023,3,3,URBANO,Ciudades y aglomeraciones,420000000
2023,1,1,URBANO,Ciudades y aglomeraciones,3340000.0
2023,1,1,URBANO,Ciudades y aglomeraciones,3340000.0
2022,1,1,URBANO,Ciudades y aglomeraciones,550000000
2023,2,2,URBANO,Ciudades y aglomeraciones,530000000
2023,1,2,URBANO,Ciudades y aglomeraciones,625000000
2023,1,2,URBANO,Ciudades y aglomeraciones,625000000
2023,1,1,URBANO,Ciudades y aglomeraciones,1446000000
2022,1,1,URBANO,Ciudades y aglomeraciones,1700000000
2022,1,1,URBANO,Ciudades y aglomeraciones,240000000
2023,1,1,URBANO,Ciudades y aglomeraciones,200000000
2021,2,1,URBANO,Ciudades y aglomeraciones,150000000
2023,2,10,URBANO,Ciudades y aglomeraciones,280000000
2023,2,2,URBANO,Ciudades y aglomeraciones,137000000
2022,1,2,URBANO,Ciudades y aglomeraciones,200000000
2022,2,3,URBANO,Ciudades y aglomeraciones,150000000
2022,3,1,URBANO,Ciudades y aglomeraciones,15000000
2023,2,10,URBANO,Ciudades y aglomeraciones,280000000
2022,2,3,URBANO,Ciudades y aglomeraciones,150000000
2023,2,2,URBANO,Ciudades y aglomeraciones,137000000
2023,1,1,URBANO,Ciudades y aglomeraciones,200000000
2022,3,1,URBANO,Ciudades y aglomeraciones,15000000
2022,1,2,URBANO,Ciudades y aglomeraciones,200000000
2021,1,1,URBANO,Rural,5000000.0
2021,2,1,URBANO,Ciudades y aglomeraciones,150000000
2023,2,10,URBANO,Ciudades y aglomeraciones,280000000
2023,2,2,URBANO,Ciudades y aglomeraciones,137000000
2023,1,1,URBANO,Ciudades y aglomeraciones,200000000
2022,3,1,URBANO,Ciudades y aglomeraciones,15000000
2022,1,2,URBANO,Ciudades y aglomeraciones,200000000
2022,2,1,URBANO,Ciudades y aglomeraciones,4500000.0
2021,1,2,URBANO,Ciudades y aglomeraciones,1500000000
2022,1,1,URBANO,Ciudades y aglomeraciones,180000000
2022,1,1,URBANO,Ciudades y aglomeraciones,330812000
2022,3,1,URBANO,Ciudades y aglomeraciones,825000000
2022,1,4,URBANO,Ciudades y aglomeraciones,1750000000
2022,1,2,URBANO,Ciudades y aglomeraciones,845000000
2022,1,2,URBANO,Ciudades y aglomeraciones,160000000
2023,8,6,URBANO,Ciudades y aglomeraciones,1098466050
2023,2,2,URBANO,Ciudades y aglomeraciones,200000000
2023,2,1,URBANO,Ciudades y aglomeraciones,850000000
2022,1,1,URBANO,Ciudades y aglomeraciones,860000000
2022,1,1,URBANO,Ciudades y aglomeraciones,245000000
